Date,Open,High,Low,Close,Adj Close,Volume
1970-11-25,1.169556,1.171212,1.162929,1.166243,0.243059,1237478
1970-11-27,1.166243,1.166243,1.161273,1.166243,0.243059,596102
1970-11-30,1.166243,1.176182,1.166243,1.172869,0.244440,1026202
1970-12-01,1.172869,1.176182,1.164586,1.167899,0.244926,1184659
1970-12-02,1.167899,1.172869,1.164586,1.172869,0.245968,1448755
1970-12-03,1.179495,1.197718,1.179495,1.197718,0.251179,2256134
1970-12-04,1.197718,1.222567,1.197718,1.217597,0.255349,3108787
1970-12-07,1.217597,1.230850,1.215940,1.215940,0.255001,1878854
1970-12-08,1.215940,1.245759,1.214284,1.245759,0.261254,2361773
1970-12-09,1.245759,1.259012,1.235820,1.247416,0.261602,1124294
1970-12-10,1.245759,1.245759,1.237476,1.240789,0.260212,550829
1970-12-11,1.240789,1.252385,1.240789,1.245759,0.261254,1245024
1970-12-14,1.245759,1.245759,1.229193,1.234163,0.258823,1494029
1970-12-15,1.234163,1.239133,1.229193,1.232506,0.258475,1071475
1970-12-16,1.232506,1.234163,1.225880,1.230850,0.258128,890381
1970-12-17,1.230850,1.242446,1.229193,1.242446,0.260560,709286
1970-12-18,1.242446,1.257355,1.229193,1.232506,0.258475,1448755
1970-12-21,1.232506,1.237476,1.225880,1.232506,0.258475,762106
1970-12-22,1.232506,1.239133,1.222567,1.230850,0.258128,1486483
1970-12-23,1.230850,1.237476,1.229193,1.232506,0.258475,1229933
1970-12-24,1.232506,1.242446,1.232506,1.234163,0.258823,784742
1970-12-28,1.234163,1.245759,1.234163,1.244103,0.260907,1222387
1970-12-29,1.252385,1.267295,1.252385,1.262325,0.264729,709286
1970-12-30,1.262325,1.290487,1.262325,1.290487,0.270635,913018
1970-12-31,1.290487,1.312023,1.288831,1.312023,0.275151,996019
1971-01-04,1.285517,1.285517,1.255699,1.259012,0.264034,1328026
1971-01-05,1.259012,1.263982,1.255699,1.259012,0.264034,445190
1971-01-06,1.259012,1.260668,1.255699,1.259012,0.264034,1079021
1971-01-07,1.259012,1.263982,1.252385,1.260668,0.264381,731923
1971-01-08,1.260668,1.260668,1.250729,1.259012,0.264034,1546848
1971-01-11,1.259012,1.260668,1.252385,1.260668,0.264381,664013
1971-01-12,1.260668,1.268951,1.260668,1.268951,0.266118,1222387
1971-01-13,1.268951,1.272265,1.265638,1.268951,0.266118,1048838
1971-01-14,1.268951,1.275578,1.262325,1.275578,0.267508,505555
1971-01-15,1.277234,1.298770,1.277234,1.290487,0.270635,1245024
1971-01-18,1.290487,1.295457,1.273921,1.273921,0.267160,4316083
1971-01-19,1.273921,1.285517,1.263982,1.278891,0.268203,747014
1971-01-20,1.278891,1.288831,1.277234,1.288831,0.270287,452736
1971-01-21,1.288831,1.302083,1.287174,1.298770,0.272372,1245024
1971-01-22,1.302083,1.310366,1.302083,1.305397,0.273762,1350662
1971-01-25,1.305397,1.310366,1.288831,1.295457,0.271677,1577030
1971-01-26,1.295457,1.298770,1.285517,1.295457,0.271677,3946349
1971-01-27,1.285517,1.285517,1.262325,1.275578,0.267508,1478938
1971-01-28,1.275578,1.288831,1.268951,1.272265,0.266813,792288
1971-01-29,1.270608,1.270608,1.252385,1.262325,0.264729,1478938
1971-02-01,1.262325,1.272265,1.255699,1.259012,0.264034,2414592
1971-02-02,1.265638,1.282204,1.265638,1.278891,0.268203,860198
