Date,Open,High,Low,Close,Adj Close,Volume
1982-11-26,0.218125,0.219375,0.216250,0.218125,0.070228,3640000
1982-11-29,0.216250,0.218125,0.213750,0.215000,0.069222,8600000
1982-11-30,0.215625,0.217500,0.213750,0.216250,0.069624,12660000
1982-12-01,0.219375,0.221250,0.216875,0.218750,0.070429,20160000
1982-12-02,0.221875,0.224375,0.219375,0.221250,0.071234,13340000
1982-12-03,0.225000,0.226250,0.223125,0.223125,0.071838,7920000
1982-12-06,0.231875,0.237500,0.225625,0.237500,0.076466,7080000
1982-12-07,0.238125,0.240000,0.235625,0.237500,0.076466,11780000
1982-12-08,0.233125,0.238125,0.227500,0.227500,0.073246,9620000
1982-12-09,0.225625,0.227500,0.223750,0.225000,0.072441,10320000
1982-12-10,0.227500,0.228125,0.226250,0.228125,0.073448,1620000
1982-12-13,0.228125,0.229375,0.226875,0.228125,0.073448,11000000
1982-12-14,0.228750,0.233125,0.224375,0.224375,0.072240,7440000
1982-12-15,0.221875,0.224375,0.218750,0.219375,0.070630,6020000
1982-12-16,0.221250,0.222500,0.220000,0.220625,0.071033,4960000
1982-12-17,0.216250,0.220000,0.211875,0.215000,0.069222,15860000
1982-12-20,0.213750,0.215000,0.211875,0.211875,0.068216,1920000
1982-12-21,0.211875,0.213125,0.210000,0.213125,0.068618,6480000
1982-12-22,0.213125,0.213750,0.211875,0.213750,0.068819,12740000
1982-12-23,0.213125,0.213750,0.212500,0.212500,0.068417,11460000
1982-12-27,0.212500,0.214375,0.210000,0.211250,0.068014,5580000
1982-12-28,0.211875,0.213125,0.210625,0.212500,0.068417,5160000
1982-12-29,0.218125,0.223125,0.212500,0.221875,0.071435,16360000
1982-12-30,0.221875,0.223125,0.220000,0.220625,0.071033,6900000
1982-12-31,0.220000,0.221250,0.218750,0.219375,0.070630,580000
1983-01-03,0.216250,0.221250,0.211250,0.211875,0.068216,4900000
1983-01-04,0.212500,0.215000,0.210000,0.215000,0.069222,11620000
1983-01-05,0.218125,0.218750,0.216875,0.218750,0.070429,3280000
1983-01-06,0.223125,0.226250,0.220000,0.226250,0.072844,8460000
1983-01-07,0.233750,0.237500,0.230000,0.234375,0.075460,10600000
1983-01-10,0.231250,0.232500,0.229375,0.229375,0.073850,4760000
1983-01-11,0.225625,0.228125,0.222500,0.222500,0.071637,18660000
1983-01-12,0.228750,0.232500,0.225000,0.230000,0.074051,6160000
